Products and Product Groups,April 2023,May 2023,June 2023,July 2023,August 2023
All-items,156.1,156.1,156.5,157.4,158.4
Food,183,184,184.5,185.1,185.5
Shelter,169.9,170.6,171.4,172.6,174
"Household operations, furnishings, and equipment",133.2,132.6,132,131.7,132.1
Clothing and footwear,96.8,96.4,96.3,96.5,97
Transportation,167.3,165.8,167.4,169.2,171.9
Health and personal care,145,145.7,146.2,146.3,146.9
"Recreation, education, and reading",126,126.4,125.9,126.6,127
"Alcoholic beverages, tobacco products, and recreational cannabis",189.1,189.7,190.3,191,191.7
All-items excluding food,151,151.1,151.5,152.3,153.4
All-items excluding food and energy,146.5,146.7,146.9,147.5,148
