DATE,TIME PERIOD, Average nominal yields for total government debt securities with floating rates (GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T), Average nominal yields for total government debt securities with floating rates (GFS.M.N.HR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T)
2007-12-31,2007Dec,,
2008-01-31,2008Jan,,
2008-02-29,2008Feb,,
2008-03-31,2008Mar,,
2008-04-30,2008Apr,,
2008-05-31,2008May,,
2008-06-30,2008Jun,,
2008-07-31,2008Jul,,
2008-08-31,2008Aug,,
2008-09-30,2008Sep,,
2008-10-31,2008Oct,,
2008-11-30,2008Nov,,
2008-12-31,2008Dec,,
2009-01-31,2009Jan,,
2009-02-28,2009Feb,,
2009-03-31,2009Mar,,
2009-04-30,2009Apr,,
2009-05-31,2009May,,
2009-06-30,2009Jun,,
2009-07-31,2009Jul,,
2009-08-31,2009Aug,,
2009-09-30,2009Sep,,
2009-10-31,2009Oct,,
2009-11-30,2009Nov,,
2009-12-31,2009Dec,,
2010-01-31,2010Jan,,
2010-02-28,2010Feb,,
2010-03-31,2010Mar,,
2010-04-30,2010Apr,,
2010-05-31,2010May,,
2010-06-30,2010Jun,,
2010-07-31,2010Jul,,
2010-08-31,2010Aug,,
2010-09-30,2010Sep,,
2010-10-31,2010Oct,,
2010-11-30,2010Nov,,
2010-12-31,2010Dec,,
2011-01-31,2011Jan,,
2011-02-28,2011Feb,,
2011-03-31,2011Mar,,
2011-04-30,2011Apr,,
2011-05-31,2011May,,
2011-06-30,2011Jun,,
2011-07-31,2011Jul,,
2011-08-31,2011Aug,,
2011-09-30,2011Sep,,
2011-10-31,2011Oct,,
2011-11-30,2011Nov,,
2011-12-31,2011Dec,,
2012-01-31,2012Jan,,
2012-02-29,2012Feb,,
2012-03-31,2012Mar,,
2012-04-30,2012Apr,,
2012-05-31,2012May,,
2012-06-30,2012Jun,,
2012-07-31,2012Jul,,
2012-08-31,2012Aug,,
2012-09-30,2012Sep,,
2012-10-31,2012Oct,,
2012-11-30,2012Nov,,
2012-12-31,2012Dec,,
2013-01-31,2013Jan,,
2013-02-28,2013Feb,,
2013-03-31,2013Mar,,
2013-04-30,2013Apr,,
2013-05-31,2013May,,
2013-06-30,2013Jun,,
2013-07-31,2013Jul,,
2013-08-31,2013Aug,,
2013-09-30,2013Sep,,
2013-10-31,2013Oct,,
2013-11-30,2013Nov,,
2013-12-31,2013Dec,,
2014-01-31,2014Jan,,
2014-02-28,2014Feb,,
2014-03-31,2014Mar,,
2014-04-30,2014Apr,,
2014-05-31,2014May,,
2014-06-30,2014Jun,,
2014-07-31,2014Jul,,
2014-08-31,2014Aug,,
2014-09-30,2014Sep,,
2014-10-31,2014Oct,,
2014-11-30,2014Nov,,
2014-12-31,2014Dec,,
2015-01-31,2015Jan,,
2015-02-28,2015Feb,,
2015-03-31,2015Mar,,
2015-04-30,2015Apr,,
2015-05-31,2015May,,
2015-06-30,2015Jun,,
2015-07-31,2015Jul,,
2015-08-31,2015Aug,,
2015-09-30,2015Sep,,
2015-10-31,2015Oct,,
2015-11-30,2015Nov,,
2015-12-31,2015Dec,,
2016-01-31,2016Jan,,
2016-02-29,2016Feb,,
2016-03-31,2016Mar,,
2016-04-30,2016Apr,,
2016-05-31,2016May,,
2016-06-30,2016Jun,,
2016-07-31,2016Jul,,
2016-08-31,2016Aug,,
2016-09-30,2016Sep,2.493,
2016-10-31,2016Oct,2.493,
2016-11-30,2016Nov,2.493,
2016-12-31,2016Dec,2.493,
2017-01-31,2017Jan,2.493,
2017-02-28,2017Feb,2.493,
2017-03-31,2017Mar,2.493,
2017-04-30,2017Apr,2.493,
2017-05-31,2017May,2.493,
2017-06-30,2017Jun,2.493,
2017-07-31,2017Jul,2.493,
2017-08-31,2017Aug,3.3,
2017-09-30,2017Sep,3.3,
2017-10-31,2017Oct,3.3,
2017-11-30,2017Nov,3.3,
2017-12-31,2017Dec,3.3,
2018-01-31,2018Jan,3.3,
2018-02-28,2018Feb,2.4,
2018-03-31,2018Mar,2.4,
2018-04-30,2018Apr,2.4,
2018-05-31,2018May,2.4,
2018-06-30,2018Jun,2.4,
2018-07-31,2018Jul,3.329,
2018-08-31,2018Aug,3.334,
2018-09-30,2018Sep,3.334,
2018-10-31,2018Oct,3.353,
2018-11-30,2018Nov,3.353,
2018-12-31,2018Dec,3.353,
2019-01-31,2019Jan,3.353,
2019-02-28,2019Feb,3.358,
2019-03-31,2019Mar,3.358,
2019-04-30,2019Apr,3.329,
2019-05-31,2019May,3.329,
2019-06-30,2019Jun,3.329,
2019-07-31,2019Jul,3.329,
2019-08-31,2019Aug,3.334,
2019-09-30,2019Sep,3.334,
2019-10-31,2019Oct,3.348,
2019-11-30,2019Nov,3.348,
2019-12-31,2019Dec,3.348,
2020-01-31,2020Jan,3.348,
2020-02-29,2020Feb,3.354,
2020-03-31,2020Mar,3.354,
2020-04-30,2020Apr,3.315,
2020-05-31,2020May,3.315,
2020-06-30,2020Jun,3.315,
2020-07-31,2020Jul,3.315,
2020-08-31,2020Aug,3.321,
2020-09-30,2020Sep,3.321,
2020-10-31,2020Oct,3.392,
2020-11-30,2020Nov,3.392,
2020-12-31,2020Dec,3.396,
2021-01-31,2021Jan,3.396,
2021-02-28,2021Feb,3.402,
2021-03-31,2021Mar,3.402,
2021-04-30,2021Apr,3.361,
2021-05-31,2021May,3.361,
2021-06-30,2021Jun,3.376,
2021-07-31,2021Jul,3.376,
2021-08-31,2021Aug,3.383,
2021-09-30,2021Sep,3.383,
2021-10-31,2021Oct,3.362,
2021-11-30,2021Nov,3.362,
2021-12-31,2021Dec,3.362,
2022-01-31,2022Jan,3.362,
2022-02-28,2022Feb,3.368,
2022-03-31,2022Mar,3.388,
2022-04-30,2022Apr,3.341,
2022-05-31,2022May,2.276,
2022-06-30,2022Jun,-0.05,
2022-07-31,2022Jul,-0.05,
2022-08-31,2022Aug,-0.05,
2022-09-30,2022Sep,-0.05,
2022-10-31,2022Oct,-0.05,
2022-11-30,2022Nov,-0.05,
2022-12-31,2022Dec,-0.05,
2023-01-31,2023Jan,,
2023-02-28,2023Feb,,
2023-03-31,2023Mar,,
2023-04-30,2023Apr,,
2023-05-31,2023May,,
2023-06-30,2023Jun,,
2023-07-31,2023Jul,,
2023-08-31,2023Aug,,
2023-09-30,2023Sep,,
2023-10-31,2023Oct,,
2023-11-30,2023Nov,,
2023-12-31,2023Dec,,
